ID_CLIENT,CLERK_TYPE,PAYMENT_DAY,APPLICATION_SUBMISSION_TYPE,QUANT_ADDITIONAL_CARDS,POSTAL_ADDRESS_TYPE,SEX,MARITAL_STATUS,QUANT_DEPENDANTS,EDUCATION_LEVEL,STATE_OF_BIRTH,CITY_OF_BIRTH,NACIONALITY,RESIDENCIAL_STATE,RESIDENCIAL_CITY,RESIDENCIAL_BOROUGH,FLAG_RESIDENCIAL_PHONE,RESIDENCIAL_PHONE_AREA_CODE,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_MOBILE_PHONE,FLAG_EMAIL,PERSONAL_MONTHLY_INCOME,OTHER_INCOMES,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OTHER_CARDS,QUANT_BANKING_ACCOUNTS,QUANT_SPECIAL_BANKING_ACCOUNTS,PERSONAL_ASSETS_VALUE,QUANT_CARS,COMPANY,PROFESSIONAL_STATE,PROFESSIONAL_CITY,PROFESSIONAL_BOROUGH,FLAG_PROFESSIONAL_PHONE,PROFESSIONAL_PHONE_AREA_CODE,MONTHS_IN_THE_JOB,PROFESSION_CODE,OCCUPATION_TYPE,MATE_PROFESSION_CODE,EDUCATION_LEVEL.1,FLAG_HOME_ADDRESS_DOCUMENT,FLAG_RG,FLAG_CPF,FLAG_INCOME_PROOF,PRODUCT,FLAG_ACSP_RECORD,AGE,RESIDENCIAL_ZIP_3,PROFESSIONAL_ZIP_3,TARGET_LABEL_BAD=0
16217,0,0,0,0,0,0,1,3,3,3,2,0,PE,Cabo de Santo Agostinho,Centro,1,3,3,3,0,1,3770,548,1,0,1,1,1,3,3,3,0,1,5,3,3,1,3,4,3,3,4,3,0,1,1,1,1,1,25,3,2,0
490,0,0,1,0,1,0,1,4,3,3,3,0,SP,Osasco,Novo Osasco,1,2,3,4,0,1,2763,497,1,1,1,1,1,3,3,3,0,1,3,3,3,1,4,3,3,1,2,4,1,0,1,1,0,0,37,3,2,1
22121,0,0,0,0,0,0,0,2,3,3,5,1,SP,Lencois Paulista,Jardim das Nacoes,0,3,3,3,0,1,2005,492,1,0,0,0,1,3,3,3,0,1,3,4,3,0,5,3,3,3,3,4,0,1,0,1,0,1,25,3,2,0
38243,0,0,0,0,1,1,0,4,3,2,3,1,MG,CAPINOPOLIS,ALVORADA,0,4,3,4,1,1,911,475,0,1,1,1,1,4,4,4,0,1,3,2,3,1,4,2,3,3,2,3,0,0,1,0,1,0,28,3,3,1
11544,0,0,0,1,0,1,0,3,3,4,3,0,SP,Santa Barbara DOeste,Jardim Belo Horizonte,0,2,2,2,0,0,2968,601,0,0,1,0,1,3,3,3,0,0,4,2,2,1,3,3,2,3,3,3,0,0,0,0,0,0,31,3,4,0
42086,0,2,0,0,1,0,1,3,3,3,3,0,RN,SAO GONCALO AMARANTE,AMARANTE,0,4,3,3,1,1,2865,401,0,0,0,0,0,3,3,4,1,1,3,3,3,1,3,4,3,3,3,2,1,0,0,1,1,0,27,2,3,1
23956,1,0,0,0,1,0,1,4,5,3,2,1,SP,Sao Paulo,Conjunto Habitacional Inacio Monteiro,1,3,3,3,0,0,1804,486,0,1,0,1,1,2,3,3,0,1,3,3,3,0,4,2,3,3,3,3,0,1,0,1,1,1,26,3,4,1
49895,0,1,1,0,0,1,1,3,3,3,3,0,MS,CAMPO GRANDE,JD PANORAMA,0,4,4,4,0,1,4899,562,1,0,0,0,0,1,3,2,0,1,3,3,3,0,3,3,4,3,4,2,1,1,1,1,0,1,47,2,3,0
34288,0,0,0,0,1,1,1,3,3,4,3,1,BA,governador mangabeira,posto aguia,1,4,3,3,0,1,3916,550,1,0,0,0,1,3,3,3,0,1,2,3,3,0,3,4,5,4,3,3,0,0,0,0,1,1,25,3,3,1
5569,0,0,0,0,0,1,1,3,2,2,3,0,PA,ANINDEUA,AURA,1,4,3,3,1,0,1101,391,0,1,0,0,0,2,2,3,0,0,3,2,3,0,3,3,3,3,3,3,1,0,1,1,0,0,54,5,3,1
